अव्यय,विभक्ति,Portugues,Español,Inglés,ITRANS,IATS,Harvard-Kyoto
अग्रे,6°,Na presença de,En presencia de,In the presence of,agre,agre,agre
अत एव,-,Então,Por lo tanto,Therefore,ata eva,ata eva,ata eva
अति ,+2ºc,"Acima, sobre",Arriba,Above,ati,ati,ati
अत्र,-,Aqui,Aquí,Here,atra,atra,atra
अद्य,-,Hoje,Hoy,Today,adya,adya,adya
अधः,6°,Abaixo,"Abajo, debajo",Below,adhaH,adhaḥ,adhaH
अधम,-,Inferior,Inferior,Inferior,adhama,adhama,adhama
अधुना,-,Agora,Ahora,Now,adhunA,adhunā,adhunA
अनन्तरम्,5°,Depois,Después,After,anantaram,anantaram,anantaram
अनु ,+2ºc,"Depois, de acordo com, junto","Junto, de acuerdo con, después","After, according to, along",anu,anu,anu
अन्तरा ,+2ºc,"Entre, no meio",Entre,Between,antarA,antarā,antarA
अन्तरेण ,+2ºc,Sem,"Sin, concerniente",Without,antareNa,antareṇa,antareNa
अन्तिम,-,Último,Último,Last,antima,antima,antima
अन्यथा,-,"De outra maneira, caso contrário",Por el contrario,Otherwise,anyathA,anyathā,anyathA
अपि,-,"Inclusive, também",Incluso,Even,api,api,api
अभि,+2ºc,Perto,Cerca,Near,abhi,abhi,abhi
अभितः,+2ºc,"Perto, na frente","Cerca, al frente","Near, in front",abhitaH,abhitaḥ,abhitaH
अलम्,+3ºc,Suficiente de,Basta de; Suficiente de,Enough,alam,alam,alam
असीम,-,Sem limites / Ilimitado,Ilimitado,Boundless,asIma,asīma,asIma
आ,5°,"Até,","Hasta, hasta","Until, up to",A,ā,A
इति,-,"Então, assim, aspas",Comillas; Eso,"So, thus",iti,iti,iti
इव,-,Como,"Como, semejante",Like,iva,iva,iva
उप ,+2ºc,"Perto, abaixo","Cerca, abajo",Below,upa,upa,upa
उपरि,+6ºc,Sobre,"Arriba, encima, sobre, en, hacia",Above,upari,upari,upari
उभयतः,+2ºc,Em ambos lados,En ambos lados,On both sides,ubhayataH,ubhayataḥ,ubhayataH
ऋते,+5ºc,"Exceto, sem","Excepto, sin, con la excepción de","Except, without",RRite,ṛte,Rte
एकदा,-,Era uma vez/Uma vez,Érase una vez/Una vez,Once upon a time/Once,ekadA,ekadā,ekadA
एव,-,"Apenas, só","Incluso, realmente, sólo, solamente, verdaderamente, ciertamente","Just, only",eva,eva,eva
एवम्,-,Então,Así,Thus,evam,evam,evam
कतरः,-,Qual dos dois,¿Cuál de los dos,Which of two,kataraH,kataraḥ,kataraH
कदापि,-,Às vezes,a veces,sometimes,kadApi,kadāpi,kadApi
करे करोमि,-,Pego na minha mão,Tomo en mi mano,I take in my hand,kare karomi,kare karomi,kare karomi
किन्तु,-,Mas,Pero,But,kintu,kintu,kintu
किम्,-,Que?,¿Qué? ,What?,kim,kim,kim
कृतम्,+3°c,Suficiente,Suficiente,Enough,kRRitam,kṛtam,kRtam
कृते,+6ºc,Pelo bem de,"Por el bien, para el bien de",Fort he sake of,kRRite,kṛte,kRte
क्षणं करोमि,-,Aguardo um momento,Espero un momento,I wait one momento,kShaNaM karomi,kṣaṇaṃ karomi,kSaNaM karomi
च,-,E,Y (conjunción),And,cha,ca,ca
चिरम्,-,Por um longo tempo,Por mucho tiempo,For a long time,chiram,ciram,ciram
तत्र,-,Lá,Allí,There,tatra,tatra,tatra
तूष्णीम्,-,Silenciosamente,Silenciosamente,Silently,tUShNIm,tūṣṇīm,tUSNIm
दिवा,-,Durante o dia,De día,In day-time,divA,divā,divA
धिक्,+2ºc,que vergonha!,"Maldecir sobre Qué lástima, qué vergüenza)","Fie, shame, what a pity",dhik,dhik,dhik
न,,Não,No negación) ,Not,na,na,na
न कदापि,-,Nunca,Nunca,Never,na kadApi,na kadāpi,na kadApi
नक्तम्,-,À noite,De noche,At night,naktam,naktam,naktam
नमः,+4ºc,Saudações,Salutaciones; Alabanzas ,Salutations,namaH,namaḥ,namaH
निकषा ,+2ºc,Perto,"Cerca, “a mano”",Near,nikaShA,nikaṣā,nikaSA
निरपराध,-,Inocente,Inocente,Innocent,niraparAdha,niraparādha,niraparAdha
पदं करोमि,+7ºc,Ponho o pé,Pongo un pie,I set foot,padaM karomi,padaṃ karomi,padaM karomi
परतः,6°,Além,Más allá,Beyond,parataH,parataḥ,parataH
परितः,+2ºc,Ao redor,Alrededor,Around,paritaH,paritaḥ,paritaH
पश्चात्,+5ºc / +6ºc,Atrás,"Detrás, atrás",Behind,pashchAt,paścāt,pazcAt
पुनः (पुनर्),-,De novo,De nuevo,Again,punaH (punar),punaḥ (punar),punaH (punar)
पुनर् पुनः,-,De novo e de novo,Una y otra vez,Again and again,punar punaH,punar punaḥ,punar punaH
पुरतः,6°,Na frente de,Delante de,In front of,purataH,purataḥ,purataH
पूर्वम्,5°,Antes,Antes,Before,pUrvam,pūrvam,pUrvam
प्रति ,+2ºc,"Para, em direção a",Hacia,"To, towards",prati,prati,prati
प्रभृति,5°,Desde,Desde,Since,prabhRRiti,prabhṛti,prabhRti
प्राक्,+5ºc,"Antes, ao leste","antes, al este de","Before, to the east",prAk,prāk,prAk
प्रात,-,"De madrugada, cedo",En la madrugada,Early Morning,prAta,prāta,prAta
प्रातर् प्रातः,-,Cedo de manhã (madrugada),"En la madrugada, Temprano en la mañana",Early morning,prAtar prAtaH,prātar prātaḥ,prAtar prAtaH
बहिः,+5ºc,Afora,"Fuera, afuera",Outside,bahiH,bahiḥ,bahiH
भृशम्,-,Muito violento,Con gran violencia,Greatly violently,bhRRisham,bhṛśam,bhRzam
मतिं करोमि,+7ºc,Direciono minha mente para,Vuelvo mi mente a,I turn my mind to,matiM karomi,matiṃ karomi,matiM karomi
मा,-,Não,No (negación) ,"No, not",mA,mā,mA
यथा...तथा,-,Como… então,Como... así,As… so,yathA...tathA,yathā...tathā,yathA...tathA
यदि,-,Si,Si,If,yadi,yadi,yadi
रहसि,-,Em segredo,En secreto,In secret,rahasi,rahasi,rahasi
विना,"+2°c, 3°c, 5°c","Sem, exclusivamente",Sin,"Without, exclusive",vinA,vinā,vinA
वृथा,-,Em vão,En vano,In vain,vRRithA,vṛthā,vRthA
शनैः,-,"Devagar, lentamente",Lentamente,Slowly,shanaiH,śanaiḥ,zanaiH
शीर्षे करोमि,-,Coloco na minha cabeça,Pongo sobre mi cabeza,I place on my head,shIrShe karomi,śīrṣe karomi,zIrSe karomi
श्वः,-,Amanhã,Mañana,Tomorrow,shvaH,śvaḥ,zvaH
सकृत्,-,Uma vez,una vez,once,sakRRit,sakṛt,sakRt
सदा,-,Sempre,Siempre,Always,sadA,sadā,sadA
सपदि,-,Imediatamente,De inmediato,At once,sapadi,sapadi,sapadi
समक्षम्,+6ºc,Na presença de,En presencia de,In the presence of,samakSham,samakṣam,samakSam
समम्,+3°c,Com (instrumental),Con,With,samam,samam,samam
समया,+2ºc,Perto,Cerca,Near,samayA,samayā,samayA
समीपम्,6°,Perto,Cerca,Near,samIpam,samīpam,samIpam
सर्वतः,+2ºc,Em todos lados,En todos lados,On all sides,sarvataH,sarvataḥ,sarvataH
सह,+3ºc,"Com, junto com",Junto con; junto,With,saha,saha,saha
सहसा,-,"Repentinamente, subitamente",De repente,Suddenly,sahasA,sahasā,sahasA
स्वस्ति,+4ºc,Salve! Viva!,"Partícula que significa ""que le vaya bien a uno)"" o ""que esté bien con uno); auspiciosidad; bien-estar; ¡Viva!, ¡Salud!, ¡Salve!",Hail!,svasti,svasti,svasti
हि,-,"Para, de fato","Porque, en verdad, realmente","For, indeed",hi,hi,hi
ह्यः,-,Ontem,Ayer,Yesterday,hyaH,hyaḥ,hyaH