धातु,गण,पद,तिङन्तं लट्,Portugués,Español,Inglés,लङ् / Pasado Imperfecto,लिङ् / Potencial,लोट् / Imperativo,लिट् / Pasado Perfecto,क्त्वा / Gerundio,तुमुन् / Infinitivo,क्त / PPP,ITRANS,IATS,Harvard-Kyoto
√रुच्,1,A,रोचते,"Brilhar, parecer esplêndido ou belo; gostar, ser agradável com; ser agradável a, ser agradável com as coisas); usado com dados da pessoa que está satisfeita","Brillar, lucir espléndido o hermoso; Gustar, estar complacido con; ser agradable a, complacer de las cosas); usado con dat. de la persona que está complacida","Shine, look splendid or beautiful; like, be pleased with; be pleasing to, be pleased with things); used with data of the person who is pleased",अरोचत,रोचेत,रोचताम्,रुरुचे,रुचित्वा / रोचित्वा,रोचितुम्,रुचित,rochate,rocate,rocate
√रुह्,1,P,रोहति,Crescer,Crecer,Grow,अरुहत्,रोहेत्,रोहतु,रुरोह,रुहित्वा / रूढ्वा,रोहितुम् / रोढुम्,रूढ,rohati,rohati,rohati
√लभ्,1,A,लभते,Obter,Obtener,Obtain,अलभत,लभेत,लभेताम्,ललाभ,लभित्वा,लभितुम्,लभित,labhate,labhate,labhate
√लिख्,6,P,लिखति,Escrever,Escribir,Write,अलिखत्,लिखेत्,लिखतु,लिलिख,लिखित्वा,लिखितुम्,लिखित,likhati,likhati,likhati
√लिप्,6,U,लिम्पति,Ungir com óleo,Ungir con aceite,Anoint with oil,अलिम्पत्,लिम्पेत्,लिम्पतु,लिलिम्प,लिम्पित्वा,लिम्पितुम्,लिप्त,limpati,limpati,limpati
√लुट्,4,P,लुट्यति,Revolver,Revolcarse,Wallow,अलुट्यत्,लुट्येत,लुट्यतु,लुलुट्य,लुट्यित्वा,लुट्यितुम्,लुटित,luTyati,luṭyati,luTyati
√लुप्,6,U,लुम्पति,"Quebrar, cortar, destruir, ferir;","Romper, cortar, destruir, herir;","Break, cut, destroy, wound;",अलुम्पत्,लुम्पेत्,लुम्पतु,लुलोप,लुप्त्वा,लोप्तुम्,लुप्त,lumpati,lumpati,lumpati
√वच्,10,U,उच्यते,Para ser falado,[Ser] hablado,To be spoken,अउच्यत,उच्येत,उच्यताम्,उवाच्ये,उक्त्वा,वक्तुम्,उक्त,uchyate,ucyate,ucyate
√वद् (pas),1,P,उद्यते,Para ser falado,[Ser] hablado,To be spoken,औद्यत,उद्येत,उद्यताम्,उवदत,उदित्वा,उदितुम्,उदित,udyate,udyate,udyate
√वद्,1,P,वदति,Para falar,Hablar,To speak,अवदत्,वदेत्,वदतु,उवाद,वदित्वा / उदित्वा,वदितुम्,उदित / वदित,vadati,vadati,vadati
√वन्द्,1,A,वन्दते,Para saudar,Saludar,To greet,अवन्दत,वन्देत,वन्देताम्,ववन्दे,वन्दित्वा,वन्दितुम्,वन्दित,vandate,vandate,vandate
√वप् (pas),1,U,उप्यते,Para plantar,Plantar,To plant,औप्यत,उप्येत,उप्यताम्,उवप्ये,उपित्वा,उपितुम्,उप्त,upyate,upyate,upyate
√वप्,1,U,वपति,Para plantar,Plantar,To plant,अवपत्,वपेत्,वपतु,ववाप,वप्त्वा,वप्तुम्,उप्त,vapati,vapati,vapati
√वस् (pas),1,P,उष्यते,Para ser habitado,[Ser] habitado,To be inhabited,औष्यत,उष्येत,उष्यताम्,उवास्ये,वासित्वा,वसितुम्,उक्त,uShyate,uṣyate,uSyate
√वस्,1,P,वसति,Para habitar,Habitar,To inhabit,अवसत्,वसेत्,वसतु,उवास,उष्ट्वा / उषित्वा,वस्तुम् / वसितुम्,उषित / उष्ट,vasati,vasati,vasati
√वह् (pas),1,U,उह्यते,"Para ser carregado, carregado","[Ser] llevado, llevado","To be carried, carried",औह्यत,उह्येत,उह्यताम्,उवाह्ये,वहित्वा,वहितुम्,ऊढ,uhyate,uhyate,uhyate
√वह्,1,U,वहति,"Para tomar, fluir","Tomar, fluir","To take, to flow",अवहत्,वहेत्,वहतु,उवह,वहित्वा,वक्तुम्,वहित,vahati,vahati,vahati
√विद्,6,U,विन्दति,"Para encontrar, descobrir, adquirir, ganhar, obter","Encontrar, descubrir, adquirir, ganar, obtener","To find, to discover, to acquire, to gain, to obtain",अविन्दत्,विन्देत्,विन्दतु,विवेद,वित्त्वा,वेत्तुम्,विन्न / वित्त,vindati,vindati,vindati
√विश्,6,P,विशति,Para entrar,Entrar,To enter,अविशत्,विशेत्,विशतु,विवेश,विशित्वा,विशितुम्,ृष्ट,vishati,viśati,vizati
√वृत्,1,A,वर्तते,Para existir,Existir,To exist,अवर्तत,वर्तेत,वर्तताम्,ववृते,वर्तित्वा,वर्तितुम्,वृत,vartate,vartate,vartate
√वृध्,1,A,वर्धते,Para aumentar,Incrementar,To increase,अवर्धत,वर्धेत,वर्धताम्,ववृधे,वर्धित्वा,वर्धितुम्,वृद्ध,vardhate,vardhate,vardhate
√वेप्,1,A,वेपते,Para tremer,Temblar,To tremble,अवेपत,वेपेत,वेपताम्,विवेपे,वेपित्वा,वेपितुम्,वेप्त,vepate,vepate,vepate
√व्यध्,4,P,विध्यति,Para passar através,Atravesar,To pass through,अविध्यत्,विध्येत,विध्यतु,विव्याध,विध्यित्वा,विध्यितुम्,विद्ध,vidhyati,vidhyati,vidhyati
√व्रज्,1,U,व्रजति,Para ir,Ir,To go,अव्रजत्,व्रजेत्,व्रजतु,विव्राज,व्रजित्वा,व्रजितुम्,वृत्त,vrajati,vrajati,vrajati
√शम्,4,P,शाम्यति,"Ficar em silêncio, ficar quieto","Callar, callar, detenerse","To be silent, to be quiet, to stop",अशाम्यत्,शाम्येत,शाम्यतु,शशाम,शाम्यित्वा,शाम्यितुम्,शा,shAmyati,śāmyati,zAmyati
√शंस्,1,A,शंसति,Para louvar,Alabar,To praise,अशंसत,शंसेत,शंसतु,शशंस,शंस्य,शंसितुम्,शस्त,shaMsati,śaṃsati,zaMsati
√शास्,2,P,शिष्यते,"Para ordenar, para comandar","Ordenar, ordenar","To order, to command",अशिक्षत,शिक्षेत,शिक्षताम्,शशास,शिक्ष्य,शिक्षितुम्,शिक्षित,shiShyate,śiṣyate,ziSyate
√शिक्ष्,1,A,शिक्षते,Para aprender,Aprender,To learn,अशिक्षत,शिक्षेत,शिक्षताम्,शशिक्ष,शिक्ष्य,शिक्षितुम्,शिक्षित,shikShate,śikṣate,zikSate
√शी,2,A,शय्यते,Para deitar,Acostarse,To lie down,अशय्यत,शय्येत,शय्यताम्,शशे,शयित्वा,शयितुम्,शयित,shayyate,śayyate,zayyate
√शुच्,1,P,शोचति,"Para ficar triste, para sofrer","Entristecerse, sufrir","To be sad, to suffer",अशोचत,शोचेत,शोचतु,शुशोच,शोच्य,शोचितुम्,शुक्त,shochati,śocati,zocati
√श्रम्,4,P,श्राम्यति,Para estar cansado ou fatigado,Estar cansado o fatigado,To be tired or fatigued,अश्राम्यत्,श्राम्येत्,श्राम्यतु,शश्राम,श्रान्त्वा / श्रमित्वा,श्रमितुम्,श्रान्त,shrAmyati,śrāmyati,zrAmyati
√सद्,1,P,सीदति,Para sentar,Sentarse,To sit down,असीदत्,सीदेत्,सीदतु,ससाद,सत्त्वा,सीदितुम् / सत्तुम्,सन्न,sIdati,sīdati,sIdati
√सह्,1,A,सहते,Para suportar,Soportar,To bear,असहत,सहेत,सहताम्,ससह,सहित्वा,सहितुम्,सहित,sahate,sahate,sahate
√सान्त्व्,10,U,सान्त्वयति,Para consolar,Consolar,To console,असान्त्वयत,सान्त्वयेत,सान्त्वयतु,ससान्त्व्य,सान्त्वयित्वा,सान्त्वयितुम्,सान्त्वित,sAntvayati,sāntvayati,sAntvayati
√सिच्,6,U,सिञ्चति,Para borrifar,Rociar,To sprinkle,असिञ्चत,सिञ्चेत,सिञ्चतु,सिसिच्य,सिचित्वा,सिचितुम्,सिक्त,si~nchati,siñcati,siJcati
√सिध्,4,P,सिध्यति,"Para ter sucesso, para ir, para mover","Triunfar, tener éxito",To succeed,असिध्यत,सिध्येत,सिध्यतु,ससिध्य,सिद्ध्वा,सिध्यितुम्,सिद्ध,sidhyati,sidhyati,sidhyati
√सृ ,1,P,सरति,"Ir, mover","Ir, mover","To go, to move",असरत्,सरेत्,सरतु,ससार,सृत्वा,सर्तुम्,सृत,sarati,sarati,sarati
√सृज्,6,P,सृजति,"Para criar, para produzir","Crear, producir","To create, to produce",असृजत,सृजेत,सृजतु,ससर्ज,सृजित्वा,सृजितुम्,सृष्ट,sRRijati,sṛjati,sRjati
√सेव्,1,A,सेवते,Para servir,Servir,To serve,असेवत,सेव्येत,सेवताम्,ससेव,सेव्य,सेवितुम्,सेवित,sevate,sevate,sevate
√स्था,1,P,तिष्ठति,Para ficar de pé; Ficar,Parar[se]; Quedar,To stand; Stay,अतिष्ठत्,तिष्ठेत्,तिष्ठतु,ततिष्ठ,स्थित्वा,स्थातुम्,स्थित,tiShThati,tiṣṭhati,tiSThati
√स्निह्,10,U,स्निह्यति,Sentir afeição (+7°C),Sentir afecto (+7°c),Feel affection (+7°C),अस्निह्यत,स्निह्येत,स्निह्यतु,सस्निह्य,स्निह्यित्वा,स्निह्यितुम्,स्निहित,snihyati,snihyati,snihyati
√स्पृश्,6,P,स्पृशति,Tocar,Tocar,Touch,अस्पृशत,स्पृशेत,स्पृशतु,सस्पर्श,स्पृष्ट्वा,स्पृष्टुम्,स्पृष्ट,spRRishati,spṛśati,spRzati
√स्पृह्,10,U,स्पृहयति,Querer (+4°C),Querer (+4°c),Want (+4°C),अस्पृहयत,स्पृहयेत,स्पृहयतु,सस्पृह्य,स्पृहयित्वा,स्पृहयितुम्,स्पृहित,spRRihayati,spṛhayati,spRhayati
√स्मृ,1,P,स्मरति,Lembrar,Recordar,Remember,अस्मरत्,स्मरेत्,स्मरतु,सस्मार,स्मृत्वा,स्मर्तुम्,स्मृत,smarati,smarati,smarati
√स्वप्,2,P,सुप्यते,Dormir,Dormir,Sleep,असुप्यत,सुप्येत,सुप्यताम्,ससुप,स्वप्त्वा,स्वप्तुम्,सुप्त,supyate,supyate,supyate
√हस्,1,P,हसति,"Rir, sorrir","Reir, sonreir","Laugh, smile",अहसत्,हसेत्,हसतु,जहास,हसित्वा,हसितुम्,हसित,hasati,hasati,hasati
√हृ,1,U,हरति,Carregar,Llevar,Carry,अहरत्,हरेत्,हरतु,जहार,हृत्वा,हर्तुम्,हृत,harati,harati,harati
√ह्वे,1,U,"ह्वयति, हूयते,",Chamar,Llamar,Call,अह्वयत / अहूयत,ह्वयेते / हूयेत,ह्वयतु / हूयताम्,जुह्वे / जुहूवे,ह्वयित्वा,ह्वयितुम्,हूत,"hvayati, hUyate,","hvayati, hūyate,","hvayati, hUyate,"
अति-√क्रम्,1,P,अतिक्राम्यति,Cruzar,Cruzar,Cross,अतिक्राम्यत्,अतिक्राम्येत्,अतिक्राम्यतु,अतिक्रान्त,अतिक्रम्य,अतिक्रान्तुम्,अतिक्रान्त,atikrAmyati,atikrāmyati,atikrAmyati
अधि-√क्षिप्,6,P,अधिक्षिपति,Abusar,Abusar,Abuse,अधिक्षिपत्,अधिक्षिपेत्,अधिक्षिपतु,अधिक्षिप्य,अधिक्षिप्य,अधिक्षिपितुम्,अधिक्षिप्त,adhikShipati,adhikṣipati,adhikSipati
अधि-√गम्,1,P,अधिगच्छति,"Obter, alcançar","Obtener, Alcanzar","Obtain, reach",अधिगच्छत्,अधिगच्छेत्,अधिगच्छतु,अधजगाम,अधिगम्य,अधिगन्तुम्,अधिगत,adhigachChati,adhigacchati,adhigacchati
अधि-√स्था,1,P,अधितिष्ठति,Morar em (+2°C),Vivir en (+2°c),Live in (+2°C),अधतिष्ठत्,अधतिष्ठेत्,अधतिष्ठतु,अधतस्थौ,अधिष्ठाय,अधिष्ठातुम्,अधिष्ठित,adhitiShThati,adhitiṣṭhati,adhitiSThati
अनु-√सृ,1,P,अनुसरति,Seguir,Seguir,Follow,अनुसरत्,अनुसरेत्,अनुसरतु,अनुससार,अनुसृत्य,अनुसर्तुम्,अनुसृत,anusarati,anusarati,anusarati
अप-√चर्,1,P,अपचरति,Deixar,Partir,Leave,अपचरत्,अपचरेत्,अपचरतु,अपचकार,अपचृत्य,अपचर्तुम्,अपचृत,apacharati,apacarati,apacarati
अभि-√धाव्,1,U,अभिधावति,Atacar,Atacar,Attack,अभिधावत्,अभिधावेत्,अभिधावतु,अभिधधाव,अभिधाव्य,अभिधावतुम्,अभिधावित,abhidhAvati,abhidhāvati,abhidhAvati
अभि-नि-√विश्,6,P,अभिनिविशते,Recorrer a (+2°C),Recurrir a (+2°c),Resort to (+2°C),अभिनिविशत,अभिनिविशेत,अभिनिविशताम्,अभिनिविष्ट,अभिनिविश्य,अभिनिविशितुम्,अभिनिविष्ट,abhinivishate,abhiniviśate,abhinivizate
अव-√गम्,1,P,अवगच्छति,Saber,Conocer,Know,अवगच्छत्,अवगच्छेत्,अवगच्छतु,अवजगाम,अवगम्य,अवगन्तुम्,अवगत,avagachChati,avagacchati,avagacchati
अव-√लोक्,1,A,अवलोकयति,Olhar,Mirar,Look,अवलोकयत्,अवलोकयेत्,अवलोकयतु,अवलोक्य,अवलोक्य,अवलोकितुम्,अवलोकित,avalokayati,avalokayati,avalokayati
अव-√वह्,1,U,अवदहति,Queimar,Quemar,Burn,अववहत्,अववहेत्,अववहतु,अववाह,अवहृत्य,अवहर्तुम्,अवहित,avadahati,avadahati,avadahati
आ-√गम्,1,P,आगच्छति,Vir,Venir,Come,आगच्छत्,आगच्छेत्,आगच्छतु,आगात्,आगम्य,आगन्तुम्,आगत,AgachChati,āgacchati,Agacchati
आ-√चर्,1,P,आचरति,Praticar,Practicar,Practice,आचरत्,आचरेत्,आचरतु,आचचार,आचृत्वा,आचरतुम्,आचरित,Acharati,ācarati,Acarati
आ-√दिश्,6,U,आदिशति,"Ordenar, comandar","Ordenar, mandar","Order, command",आदिशत्,आदिशेत्,आदिशतु,आदिशत्,आदिश्य,आदिशतुम्,आदिष्ट,Adishati,ādiśati,Adizati
आ-√दृ,6,A,आद्रियते,Respeitar,Respetar,Respect,आद्रियत,आद्रियेत,आद्रियताम्,आदृत,आद्रिय,आद्रियितुम्,आदृत,Adriyate,ādriyate,Adriyate
आ-√नी,1,U,आनयति,Trazer,Traer,Bring,आनयत्,आनयेत्,आनयतु,आनिनाय,आनयित्वा,आनयितुम्,आनित,Anayati,ānayati,Anayati
आ-√प्रच्छ्,6,A,आपृच्छते,"Dizer adeus, dispensar","Decir adiós, despedir","Say goodbye, dismiss",आपृच्छत,आपृच्छेत,आपृच्छताम्,आपप्रच्छ,आपृच्छ्य,आपृच्छितुम्,आपृष्ट,ApRRichChate,āpṛcchate,ApRcchate
आ-√रभ्,1,A,आरभते ,"Começar, começar","Iniciar, Comenzar","Start, begin",आरभत,आरभेत,आरभताम्,आररेभे,आरभ्य,आरभितुम्,आरब्ध,Arabhate,ārabhate,Arabhate
आ-√रुह्,1,P,आरोहति,Montar; Subir,Montar; Subir,Assemble; Rise,आरुह्यत्,आरुहेत्,आरोहतु,आरुरोह,आरुह्य,आरोहितुम्,आरूढ,Arohati,ārohati,Arohati
उद्-√भू,1,P,उद्भवति,Reunir; Levantar-se,Levantarse,Arise,उदभवत्,उद्भवेत्,उद्भवतु,उदभूव,उद्भूत्वा,उद्भवितुम्,उद्भूत,udbhavati,udbhavati,udbhavati
उद्-√स्था,1,P,उत्तिष्ठति,"Levantar-se, ascender","Levantarse, ascender","Rise, ascend",उदतिष्ठत्,उत्तिष्ठेत्,उत्तिष्ठतु,उदतस्थौ,उत्तिष्ठ्य,उत्तिष्ठितुम्,उत्पन्न,uttiShThati,uttiṣṭhati,uttiSThati
उप-√गम्,1,P,उपगच्छति,Aproximar-se,Acercarse,Approach,उपगच्छत्,उपगच्छेत्,उपगच्छतु,उपजगाम,उपगत्य,उपगन्तुम्,उपगत,upagachChati,upagacchati,upagacchati
उप-√विश्,1,P,उपविशति,Sentar-se,Sentarse,Sit,उपविशत्,उपविषेत्,उपविषतु,उपविवेश,उपविश्य,उपवेष्टुम्,उपविष्ट,upavishati,upaviśati,upavizati
नि-√क्षिप्,6,P,निक्षपति,Derrubar,Derribar,Knock down,निक्षिपत्,निक्षिपेत्,निक्षिपतु,निक्षेप,निक्षिप्य,निक्षेप्तुम्,निक्षिप्त,nikShapati,nikṣapati,nikSapati
नि-√वृत्,1,A,निवर्तते ,Desistir de,Desistir de,Desist from,अनिवर्तत,निवर्तेत,निवर्तताम्,निववृते,निवृत्त्वा,निवर्तितुम्,निवृत्त,nivartate,nivartate,nivartate
निस्-√वह्,1,U,निर्वहति,Agir,Actuar,Acting,अनिर्वहत्,निर्वहेत्,निर्वहतु,निर्ववाह,निर्वह्य,निर्वहितुम्,निर्वाहित,nirvahati,nirvahati,nirvahati
परा-√जि,1,A,पराजयते,"Derrotar, conquistar","Derrotar, Conquistar","Defeat, conquer",अपराजयत,पराजयेत,पराजयताम्,पराजिषे,पराजित्वा,पराजितुम्,पराजित,parAjayate,parājayate,parAjayate
परि-√नी,1,U,परिणयति,Casar-se,Casarse,Marry,अपरिणयत्,परिणयेत्,परिणयतु,परिणिनय,परिणयित्वा,परिणयितुम्,परिणीत,pariNayati,pariṇayati,pariNayati
परि-√पत्,1,P,परिपतति,Voar sobre,Volar sobre,Fly over,अपरिपतत्,परिपतेत्,परिपततु,परिपपात,परिपत्य,परिपतितुम्,परिपतित,paripatati,paripatati,paripatati
प्र-√काश्,1,A,प्रकाशते,Brilhar,Brillar,Shine,अप्रकाशत,प्रकाशेत,प्रकाशताम्,प्रचकाशे,प्रकाश्य,प्रकाशितुम्,प्रकाशित,prakAshate,prakāśate,prakAzate
प्र-√दा,1,P,प्रयच्छति,Conceder,Conceder,Grant,अप्रयच्छत्,प्रयच्छेत्,प्रयच्छतु,प्रददौ,प्रदाय,प्रदातुम्,प्रदत्त,prayachChati,prayacchati,prayacchati
प्र-√बुध्,1,U,प्रबोधति,Acordar,Despertar,Awaken,अप्रबोधत्,प्रबोध्येत्,प्रबोध्यताम्,प्रबबुधे,प्रबुद्ध्वा,प्रबोधितुम्,प्रबुद्ध,prabodhati,prabodhati,prabodhati
प्र-√भू,1,P,प्रभवति ,Levantar-se,Surgir,Arise,अप्रभवत्,प्रभवेत्,प्रभवतु,प्रभभूव,प्रभूत्वा,प्रभवितुम्,प्रभूत,prabhavati,prabhavati,prabhavati
प्र-√वृत्,1,A,प्रवर्तते,Prosseguir,Proceder,Proceed,अप्रवर्तत,प्रवर्तेत,प्रवर्तताम्,प्रववृते,प्रवृत्त्वा,प्रवर्तितुम्,प्रवृत्त,pravartate,pravartate,pravartate
प्र-विश्,6,P,प्रविशति,Entrar,Entrar,Enter,अप्रविशत्,प्रविषेत्,प्रविषतु,प्राविवेश,प्रविश्य,प्रवेष्टुम्,प्रविष्ट,pravishati,praviśati,pravizati
प्रति-√गम्,1,P,प्रतिगच्छति,Retornar,Regresar,Return,प्रतिगच्छत्,प्रतिगच्छेत्,प्रतिगच्छतु,प्रतिजगाम,प्रतिगत्य,प्रतिगन्तुम्,प्रतिगत,pratigachChati,pratigacchati,pratigacchati
वि-√अस्,4,P,व्यस्यति,"Reunir, reunir","Recoger, juntar","Gather, gather",अव्यस्यत्,व्यस्येत्,व्यस्यतु,विव्यस्य,व्यस्यित्वा,व्यस्यितुम्,व्यस्त,vyasyati,vyasyati,vyasyati
वि-√जि,1,A,विजयते,Conquistar,Conquistar,Conquer,अविजयत,विजयेत,विजयताम्,विजिषे,विजित्य,विजितुम्,विजित,vijayate,vijayate,vijayate
वि-√पद्,4,A,विपद्यते,Cair em desgraça,Caer en la desgracia,Fall into disgrace,अविपद्यत,विपद्येत,विपद्यताम्,विपपादे,विपदित्वा,विपदितुम्,विपन्न,vipadyate,vipadyate,vipadyate
वि-√वद्,1,A,विवदते,"Discordar, argumentar, discordar; estar em desacordo, em conflito, estar em oposição","Discordar, Discutir, Discrepar; Estar en desacuerdo, en conflicto, estar en oposición","Disagree, argue, disagree; be in disagreement, in conflict, be in opposition",अविवदत,विवदेत,विवदताम्,विविदे,विवदित्वा,विवदितुम्,विवदित,vivadate,vivadate,vivadate
वि-√सद्,1,P,विषीदति,"Ficar triste, lamentar","Estar triste, Entristecerse","Be sad, grieve",अविषीदत्,विषीदेयात्,विषीदतु,विविशाद,विषीदित्वा,विषीदितुम्,विषीण्ण,viShIdati,viṣīdati,viSIdati
वि-√स्मृ,1,P,विस्मरति,Esquecer,Olvidar,Forget,अविस्मरत्,विस्मरेत्,विस्मरतु,विविस्मर,विस्मृत्य,विस्मर्तुम्,विस्मृत,vismarati,vismarati,vismarati
सम्-√क्षिप्,6,P,संक्षपति,Reduzir,Reducir,Reduce,असंक्षिपत्,संक्षिपेत्,संक्षिपतु,संसिक्षिप,संक्षिप्य,संक्षेप्तुम्,संक्षिप्त,saMkShapati,saṃkṣapati,saMkSapati
सम्-√पद्,4,A,सम्पद्यते,Prosperar,Prosperar,Prosper,असम्पद्यत,सम्पद्येत,सम्पद्यताम्,सम्पपादे,सम्पदित्वा,सम्पदितुम्,सम्पन्न,sampadyate,sampadyate,sampadyate
,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,